1,1,Ayam Bakar,10000,ayambakar.jpeg,Ayam bakar bumbu rahasia
2,2,AYAM Goreng,10000,ayamgoreng.jpeg,Ayam goreng ungkep
3,2,CAK IKAN Mujaer,10000,cakikanjaer.jpeg,PECAK IKAN MUJAER 
4,2,CAPCAY,3000,capcay.jpeg,HARGA 2 kali centong
5,1,ES TEH MANIS,4000,estehmanis.jpeg,ES TEH MANIS SEGER
6,1,Garang Asem AYAM,15000,garangasemayam.jpg,INI MENU BESTSELLER KAMI
7,2,Ikan Garang ASEM,20000,ikangarangasam.jpeg,IKAN laut dan ikan tambak
8,2,IKAN GORENG MUJAER,7000,ikangoreng.jpeg,IKAN GORENG MUJAER
9,1,IKAN TONGKOL BALADO,8000,ikantongkolbalado.jpeg,Ikan tongkol balado
10,1,KRUPUK UDANG,2000,krupukudang.jpeg,KRUPUK UDANG
11,1,MIE GORENG,2000,miegoreng.jpeg,SATU KALI CENTONG 
12,1,OPOR AYAM,10000,oporayam.jpeg,HARGA INI UNTUK 1 POTONG AYAM
13,2,OREG TEMPE,2000,oregtempe.jpeg,SATU KALI CENTONG 
14,2,PAKET BOX NASI 1,25000,paketnasi1.jpeg,MENU CHATERING untuk ACARA
15,1,PAKET BOX NASI 2,20000,paketnasi2.jpeg,MENU CHATERING untuk ACARA
16,3,PAKET BOX NASI 3,15000,paketnasi3.jpeg,MENU CHATERING untuk ACARA
17,3,PAKET BOX NASI 4,1200,paketnasi4.jpeg,MENU CHATERING untuk ACARA
18,3,PEPES AYAM,10000,pepesayam.jpeg,PEPES AYAM
19,3,PEPS IKAN,10000,pepesikan.jpeg,PEPES IKAN
20,4,PEPS TELUR ASIN,8000,pepestelurasin.jpeg,PEPES TELUR ASIN+C[2]C:C[1]
21,4,PERKEDEL KENTANG,2500,perkedel.jpeg,PERKEDEL KENTANG
22,4,RENDANG DANGING,11000,rendangdaging.jpeg,HARGA INI UNTUK 1 POTONG DAGING
23,1,RENDANG JENGKOL,5000,rendangjengkol.jpeg,HARGA INI UNTUK 4 POTONG JENGKOL
24,1,SAMBAL GORENG KENTANG,4000,sambalgorengkentang.jpeg,SATU SETENGAH CENTONG
25,3,SAMBEL TERASI,2000,sambelterasi.jpeg,SATU KALI SENDOK MAKAN
26,4,SATE ATI AMPELA,4000,sateatiampela.jpeg,HARGA UNTUK 1 TUSUK
27,4,SATE USUS AYAM,3000,sateusus.jpeg,HARGA UNTUK 1 TUSUK
28,3,SATE KAMBING,60000,satekambing.jpeg,10 TUSUK /SETENGAH KODI
29,2,SAYUR ASEM,5000,sayurasem.jpeg,UNTUK 1 PORSI
30,2,SAYUR DAUN SINGKON,5000,sayurdaunsingkong.jpeg,UNTUK 1 PORSI
31,1,SAYUR TELUR PUYUH,5000,sayurtelurpuyuh.jpg,UNTUK 1 PORSI
32,1,SEMUR ATI AMPELA,8000,semurhatiampela.jpeg,HARGA 1 PASANG HATI AMPELA
33,2,SUP AYAM,10000,supayam.jpeg,UNTUK 1 PORSI
34,3,TAHU GORENG,2000,tahu.jpeg ,1 TAHU GORENG
35,2,TEH MANIS ANGET,4000,tehmanisanget.jpeg,1 GELAS TEH MANIS ANGET
36,1,TELUR ASIN,4000,telurasin.jpg,1 BUTIR TELUR ASIN
37,1,TELUR BALADO,5000,telurbalado.jpeg,1 BUTIR TELUR BALADO
38,1,TELUR DADAR,5000,telurdadar.jpg,1 LEMBAR TELUR DADAR
39,1,TEMPE GORENG,2000,tempe.jpeg ,1 TEMPE GORENG
40,1,TUMIS BUNCIS,5000,tumisbuncis.jpeg,1 PORSI TUMIS BUNCIS
41,4,TUMIS TAHU TOGE,5000,tumistahutoge.jpeg,1 TUMIS TAHU TOGE
